chi2_kahan_long, chi2_std, chi2_std_long, chi2_kahan, chi2_kahan_avx
116643.6895484145304777712226496078073978, 116643.6895484146516537293791770935058594, 116643.6895484145304351386585040017962456, 116643.6895484145352384075522422790527344, 116643.6895484145206864923238754272460938
116650.154228833117691976895002881065011, 116650.1542288330383598804473876953125, 116650.1542288331176990823223604820668697, 116650.1542288331111194565892219543457031, 116650.1542288331111194565892219543457031
116638.5574093879779908888849604409188032, 116638.5574093882023589685559272766113281, 116638.5574093879780335214491060469299555, 116638.5574093879840802401304244995117188, 116638.5574093879695283249020576477050781
116644.3405832433576421180987381376326084, 116644.3405832429125439375638961791992188, 116644.3405832433577700157911749556660652, 116644.3405832433636533096432685852050781, 116644.3405832433636533096432685852050781
116644.3149950665599305921205086633563042, 116644.314995066844858229160308837890625, 116644.3149950665598808541290054563432932, 116644.3149950665538199245929718017578125, 116644.3149950665683718398213386535644531
116644.4549562933738968695251969620585442, 116644.4549562935862923040986061096191406, 116644.45495629337397502922613057307899, 116644.4549562933680135756731033325195312, 116644.4549562933680135756731033325195312
116644.1991516336290288791133207269012928, 116644.1991516338457586243748664855957031, 116644.1991516336288583488567383028566837, 116644.1991516336274798959493637084960938, 116644.1991516336274798959493637084960938
116644.3980162404952451993267459329217672, 116644.3980162407824536785483360290527344, 116644.3980162404954654675748315639793873, 116644.3980162404914153739809989929199219, 116644.3980162405059672892093658447265625
116644.2553341589984867709972604643553495, 116644.2553341590974014252424240112304688, 116644.2553341589984370330057572573423386, 116644.2553341589955380186438560485839844, 116644.255334159010089933872222900390625
116644.6551330745281802592216990888118744, 116644.6551330745423911139369010925292969, 116644.6551330745279528855462558567523956, 116644.6551330745278391987085342407226562, 116644.6551330745278391987085342407226562
116643.9448196682650902289424266200512648, 116643.94481966807506978511810302734375, 116643.9448196682651897049254330340772867, 116643.9448196682642446830868721008300781, 116643.9448196682642446830868721008300781
116644.3252947006538278174048173241317272, 116644.3252947008295450359582901000976562, 116644.3252947006537070251397381071001291, 116644.3252947006549220532178878784179688, 116644.3252947006549220532178878784179688
116644.3303442490154822053227690048515797, 116644.3303442490141605958342552185058594, 116644.3303442490154324673312657978385687, 116644.3303442490141605958342552185058594, 116644.3303442490141605958342552185058594
116644.3049786900176059134537354111671448, 116644.3049786898627644404768943786621094, 116644.3049786900175774917443050071597099, 116644.3049786900228355079889297485351562, 116644.3049786900228355079889297485351562
116644.3555472993405572879055398516356945, 116644.3555472996522439643740653991699219, 116644.3555472993403867576489574275910854, 116644.3555472993466537445783615112304688, 116644.3555472993466537445783615112304688
116644.3464244872944277631177101284265518, 116644.3464244872739072889089584350585938, 116644.3464244872943638142714917194098234, 116644.3464244872884592041373252868652344, 116644.346424487303011119365692138671875
116644.3091171965662269371932779904454947, 116644.3091171959822531789541244506835938, 116644.309117196566120355782913975417614, 116644.3091171965643297880887985229492188, 116644.3091171965643297880887985229492188
116644.3730927631157356927360524423420429, 116644.3730927633732790127396583557128906, 116644.3730927631156149004709732253104448, 116644.3730927631113445386290550231933594, 116644.3730927631113445386290550231933594
116644.2821922891265984389974619261920452, 116644.2821922891016583889722824096679688, 116644.2821922891265629118606739211827517, 116644.28219228913076221942901611328125, 116644.28219228913076221942901611328125
116644.3242153878924511900549987331032753, 116644.3242153877799864858388900756835938, 116644.324215387892408557490853127092123, 116644.3242153878964018076658248901367188, 116644.3242153878964018076658248901367188
116644.3313825055543020425830036401748657, 116644.3313825055520283058285713195800781, 116644.3313825055543588860018644481897354, 116644.3313825055520283058285713195800781, 116644.3313825055520283058285713195800781
116644.292174408928488560377445537596941, 116644.2921744091290747746825218200683594, 116644.2921744089285454037963063456118107, 116644.2921744089253479614853858947753906, 116644.2921744089398998767137527465820312
116644.3638437107057370667462237179279327, 116644.3638437104673357680439949035644531, 116644.3638437107057441721735813189297915, 116644.3638437107001664116978645324707031, 116644.3638437107001664116978645324707031
116644.3644229679012909173252410255372524, 116644.364422967773862183094024658203125, 116644.3644229679011345979233738034963608, 116644.3644229679048294201493263244628906, 116644.3644229679048294201493263244628906
116644.2911619653100174787141440901905298, 116644.2911619649385102093219757080078125, 116644.2911619653101240601245081052184105, 116644.2911619653168600052595138549804688, 116644.2911619653168600052595138549804688
116644.6936587357456716063097701407968998, 116644.6936587362724822014570236206054688, 116644.6936587357456573954550549387931824, 116644.6936587357486132532358169555664062, 116644.6936587357486132532358169555664062
116643.9610613415136270987204625271260738, 116643.9610613411496160551905632019042969, 116643.9610613415136697312846081331372261, 116643.9610613415134139358997344970703125, 116643.9610613415134139358997344970703125
116644.3380102100357120775697694625705481, 116644.3380102102091768756508827209472656, 116644.3380102100355628635952598415315151, 116644.3380102100345538929104804992675781, 116644.3380102100345538929104804992675781
116644.317582173190558592068555299192667, 116644.31758217350579798221588134765625, 116644.3175821731906722789062769152224064, 116644.3175821731856558471918106079101562, 116644.3175821731856558471918106079101562
116644.4298682341885680102677724789828062, 116644.4298682342196116223931312561035156, 116644.4298682341887243296696397010236979, 116644.4298682341905077919363975524902344, 116644.4298682341905077919363975524902344
